ID,RECENT_DATE,TRANS_NUM,AVG_TRANS_AMT,TRANS_NUM_BEFORE
4356689447,20180125,,0,0
5985727751,20180125,0,0,
8221439519,20171211,0,0,0
6255360379,20171226,0,0,0
5985726631,20171203,0,0,0
6255360403,20180109,0,0,0
8221440591,20171208,0,0,0
8221439459,20171208,0,0,1
4373540587,20171204,0,0,0
8221438327,20171122,0,0,0
8221438387,20171123,0,0,0
6255358175,20180206,0,0,0
4373539491,20180210,0,0,0
6255359199,20180126,0,0,0
5137506867,20180210,0,0,0
5137506855,20180129,207,0,138
6851792819,20171125,0,0,0
4362308131,20180131,24,530232,84
7446429015,20180210,0,0,0
8491076627,20171128,1,50000,0
4362703403,20171205,0,0,0
8491075519,20180201,20,49666.6667,0
8221435907,20171211,0,0,0
4334214987,20180130,48,48000,36
4362301135,20171122,0,0,0
7103577783,20180115,27,54000,63
6339286107,20180125,0,0,0
5985721899,20180120,0,0,6
4412856783,20180123,0,0,0
4356682487,20180202,0,0,95
8221433595,20180205,0,0,0
6255357031,20171125,0,0,0
4351069631,20180129,432,0,216
6255357019,20171127,0,0,0
4356685883,20180210,0,0,0
4362731279,20180210,264,482760.24,288
8221436991,20180211,0,0,0
8760719623,20180211,0,0,0
8491085959,20180105,3,21600,0
8760718539,20180125,0,0,0
4396020863,20171226,780,68250,1053
7642861595,20180124,0,0,2
4345464999,20180112,25,1112468.5,68
6525005651,20180210,0,0,0
4356699887,20180123,0,0,6
6525004507,20180210,0,0,0
8633933595,20180131,4,0,0
4363285871,20180125,0,0,0
4334228919,20180129,2387,0,1755
7642860403,20171227,0,0,0
5407146491,20180210,0,0,0
8491083647,20180125,0,0,0
5407147515,20180110,0,0,0
8491083671,20180129,0,0,0
4407781311,20180204,0,0,0
5407151187,20180205,0,0,0
5407149911,20180104,0,0,0
7642864907,20180125,0,0,0
4351083611,20180116,32,0,28
6525006807,20180202,0,0,0
7917858123,20171201,0,0,0
4328614943,20180211,270,2100000,380
8514289503,20180125,0,0,0
6255365111,20171130,0,0,18
9289290639,20180211,1,3000,0
4335701103,20171211,0,0,0
8221445275,20180206,0,0,0
6255365063,20171127,0,0,0
7103587139,20180211,0,0,0
4351075483,20180210,0,0,0
4373545259,20171129,0,0,144
6525003351,20171230,38,0,48
8760716179,20180207,0,0,0
8760716203,20180125,0,0,0
8760716191,20180123,1,3000,0
5407145323,20180210,0,0,0
7642858079,20171129,0,0,0
8760715083,20180210,0,0,0
4334226679,20180210,0,0,0
5407144215,20171126,88,88000,64
8491080215,20171128,0,0,0
7642857007,20180131,0,0,15
6255367327,20180125,0,0,0
8760714023,20171222,1,500,0
6564294127,20180125,0,0,0
6564293019,20180210,0,0,0
5446436063,20180109,0,0,0
8800007991,20180125,0,0,0
8800007015,20180210,0,0,0
4328578975,20180209,90,475200,144
6482145243,20180208,1872,1287200.002,3444
8800006895,20180126,4,180000,0
8800005751,20171226,1,30000,0
4328578939,20180208,9972,49634245,17685
6564292863,20180125,0,0,0
8800006823,20180125,0,0,0
6833930223,20180117,12,141000,12
4367904611,20180210,0,0,0
7951788251,20180130,0,0,0
9069644207,20180119,1,0,0
4598217371,20171208,4,0,9
7951786107,20180210,0,0,0
6833930163,20180118,0,0,0
4339817403,20180205,1274,26476177,1536
4362285963,20180118,0,0,0
8626790599,20180205,0,0,0
4598215119,20180210,0,0,0
4379138307,20180116,9,0,5
8800009279,20180125,0,0,0
5446437243,20180125,0,0,0
6482146399,20180210,0,0,0
5117857023,20180210,0,0,0
4390372087,20171222,0,0,1
5446432415,20180210,0,0,0
8800003355,20180125,0,0,0
6564288251,20180210,0,0,0
8800002259,20180126,1,10060,0
7682145279,20180129,54,0,4
7682144123,20180125,0,0,0
4367895231,20171224,275,349525,855
8900005635,20180202,1,10000,0
8453574303,20180102,5,14095,0
6026799791,20180125,0,0,0
4362276703,20180112,427,0,516
8800000043,20180111,0,0,0
7682148699,20171204,2,10000,0
4367899867,20180201,432,6304836,493
6564291767,20171221,0,0,8
8800005739,20180210,0,0,0
7033936095,20180116,160,490476.6,110
7682147615,20180129,190,0,24
7682148675,20171228,0,0,3
4356664919,20180210,0,0,0
5446433571,20180115,198,99000,162
4345427803,20180125,0,0,0
8800003439,20180202,0,0,0
8221429091,20171122,1,40000,0
4345443023,20180210,0,0,0
7951796403,20171119,0,0,2
8221430163,20171115,0,0,0
7103572027,20180130,14,140000,18
4356677791,20180125,0,0,0
4345443963,20180112,63,0,57
4351060383,20180125,0,0,0
7103572087,20180112,15,0,9
4356676707,20180119,20,2000000,40
7951794199,20180123,9,19037.76,9
4373528871,20180210,0,0,0
8221432475,20171210,0,0,0
8221432463,20171115,0,0,0
9339289467,20180210,1,0,0
8221432487,20180210,14,17260,13
7103576579,20171124,0,0,0
4367914027,20180116,140,3500000,360
5716084743,20180210,0,0,0
4356679055,20180209,720,18226746,640
5985717383,20180129,24,0,18
7951797619,20180210,0,0,0
8792861563,20171225,0,0,0
7103573243,20180129,8,0,9
8221430235,20180203,1,30000,0
8221430259,20171125,0,0,0
9019648787,20180126,0,0,0
5716076603,20180112,24,0,21
7951789527,20180206,36,0,11
7951790551,20180210,0,0,0
9069645351,20180121,1,2000,0
9069646387,20180131,0,0,0
4328584803,20180209,0,0,70
4362288251,20180125,0,0,0
7516074315,20171213,1,20000,1
8200001091,20171206,0,0,1
4598222055,20180203,138,2761150,175
4373528859,20180211,108,384588,132
8200000019,20180205,0,0,0
4367909247,20180211,705,2177040,1275
9069649855,20180204,1,10000,0
4367909307,20180114,0,0,0
4345440567,20180211,0,0,0
7951791683,20180210,0,0,0
9069648663,20180130,0,0,0
7951791731,20180129,40,0,27
6873227827,20180102,10,60000,76
4339793043,20180114,6,600,6
4351027739,20180112,32,0,26
8260717399,20171212,0,0,0
4907147519,20180109,22,1133,18
4367879083,20180125,0,0,0
6025004511,20180125,0,0,0
4362261495,20180210,0,0,0
8260717339,20171216,0,0,0
6873226659,20180210,0,0,0
6025003451,20180130,0,0,0
6025003355,20180125,0,0,0
8776789467,20171224,1,100,0
4362265119,20180203,2318,77345275.34,1728
8260720795,20171214,0,0,0
8200004595,20180125,0,0,0
4395968483,20171121,0,0,0
8260719687,20171206,0,0,0
6025006775,20171226,0,0,0
8200004535,20180129,8,0,5
8260719639,20180211,0,0,0
9323216239,20180209,1,1,0
8523226659,20171218,1,15000,0
4356639523,20171125,0,0,0
4351022079,20180211,240,621200,273
8523224407,20180101,1,2000,0
4356639475,20180122,0,0,74
9108935935,20180211,0,0,0
7991077811,20180202,48,464000,50
8498220851,20180125,0,0,0
8696430191,20171229,0,0,0
6873220759,20180210,0,0,0
7991077751,20171122,0,0,0
4339786987,20180126,0,0,0
7991077775,20180210,0,0,0
8260715123,20171214,0,0,0
4373494167,20171225,0,0,0
4373494203,20180125,0,0,0
4373494191,20180210,0,0,0
8260716171,20171218,2,2000,6
6873225479,20180210,0,0,0
8487512739,20171230,1,3000,0
