,ID,RECENT_DATE,TRANS_NUM,AVG_TRANS_AMT,TRANS_NUM_BEFORE
135,8800003439,20180202,0.0,0.0,0.0
136,8221429091,20171122,1.0,40000.0,0.0
137,4345443023,20180210,0.0,0.0,0.0
138,7951796403,20171119,0.0,0.0,2.0
139,8221430163,20171115,0.0,0.0,0.0
140,7103572027,20180130,14.0,140000.0,18.0
141,4356677791,20180125,0.0,0.0,0.0
142,4345443963,20180112,63.0,0.0,57.0
143,4351060383,20180125,0.0,0.0,0.0
144,7103572087,20180112,15.0,0.0,9.0
145,4356676707,20180119,20.0,2000000.0,40.0
146,7951794199,20180123,9.0,19037.76,9.0
147,4373528871,20180210,0.0,0.0,0.0
148,8221432475,20171210,0.0,0.0,0.0
149,8221432463,20171115,0.0,0.0,0.0
150,9339289467,20180210,1.0,0.0,0.0
151,8221432487,20180210,14.0,17260.0,13.0
152,7103576579,20171124,0.0,0.0,0.0
153,4367914027,20180116,140.0,3500000.0,360.0
154,5716084743,20180210,0.0,0.0,0.0
155,4356679055,20180209,720.0,18226746.0,640.0
156,5985717383,20180129,24.0,0.0,18.0
157,7951797619,20180210,0.0,0.0,0.0
158,8792861563,20171225,0.0,0.0,0.0
159,7103573243,20180129,8.0,0.0,9.0
160,8221430235,20180203,1.0,30000.0,0.0
161,8221430259,20171125,0.0,0.0,0.0
162,9019648787,20180126,0.0,0.0,0.0
163,5716076603,20180112,24.0,0.0,21.0
164,7951789527,20180206,36.0,0.0,11.0
165,7951790551,20180210,0.0,0.0,0.0
166,9069645351,20180121,1.0,2000.0,0.0
167,9069646387,20180131,0.0,0.0,0.0
168,4328584803,20180209,0.0,0.0,70.0
169,4362288251,20180125,0.0,0.0,0.0
170,7516074315,20171213,1.0,20000.0,1.0
171,8200001091,20171206,0.0,0.0,1.0
172,4598222055,20180203,138.0,2761150.0,175.0
173,4373528859,20180211,108.0,384588.0,132.0
174,8200000019,20180205,0.0,0.0,0.0
175,4367909247,20180211,705.0,2177040.0,1275.0
176,9069649855,20180204,1.0,10000.0,0.0
177,4367909307,20180114,0.0,0.0,0.0
178,4345440567,20180211,0.0,0.0,0.0
179,7951791683,20180210,0.0,0.0,0.0
180,9069648663,20180130,0.0,0.0,0.0
181,7951791731,20180129,40.0,0.0,27.0
182,6873227827,20180102,10.0,60000.0,76.0
183,4339793043,20180114,6.0,600.0,6.0
184,4351027739,20180112,32.0,0.0,26.0
185,8260717399,20171212,0.0,0.0,0.0
186,4907147519,20180109,22.0,1133.0,18.0
187,4367879083,20180125,0.0,0.0,0.0
188,6025004511,20180125,0.0,0.0,0.0
189,4362261495,20180210,0.0,0.0,0.0
190,8260717339,20171216,0.0,0.0,0.0
191,6873226659,20180210,0.0,0.0,0.0
192,6025003451,20180130,0.0,0.0,0.0
193,6025003355,20180125,0.0,0.0,0.0
194,8776789467,20171224,1.0,100.0,0.0
195,4362265119,20180203,2318.0,77345275.34,1728.0
196,8260720795,20171214,0.0,0.0,0.0
197,8200004595,20180125,0.0,0.0,0.0
198,4395968483,20171121,0.0,0.0,0.0
199,8260719687,20171206,0.0,0.0,0.0
200,6025006775,20171226,0.0,0.0,0.0
201,8200004535,20180129,8.0,0.0,5.0
202,8260719639,20180211,0.0,0.0,0.0
203,9323216239,20180209,1.0,1.0,0.0
204,8523226659,20171218,1.0,15000.0,0.0
205,4356639523,20171125,0.0,0.0,0.0
206,4351022079,20180211,240.0,621200.0,273.0
207,8523224407,20180101,1.0,2000.0,0.0
